,id,condition,day,event-freeze,event-freeze,event-freeze,event-freeze,event-freeze,delta_freeze_csp,d_freeze_csm
event,,,,csm,csm_laser,csp,csp_laser,csp_shock,,
0,ZZ012_interleavedCSpCSm,jaws,14,0.621594684385382,0.275747508305648,0.347406914893617,0.122839095744681,,-0.22456781914893603,-0.34584717607973403
1,ZZ013_interleavedCSpCSm,jaws,14,0.0482047872340426,0.488364361702128,0.473404255319149,0.341589095744681,,-0.131815159574468,0.4401595744680854
2,ZZ014_interleavedCSpCSm,jaws,14,0.836103723404255,0.564162234042553,0.824634308510638,0.527593085106383,,-0.297041223404255,-0.27194148936170204
3,ZZ016_interleavedCSpCSm,control,14,0.153257978723404,0.248670212765957,0.11377245508982,0.0665335994677312,,-0.04723885562208879,0.095412234042553
4,ZZ017_interleavedCSpCSm,control,14,0.708776595744681,0.898271276595745,0.602892287234043,0.738031914893617,,0.135139627659574,0.18949468085106402
5,ZZ019-14d-sameContext,jaws,14,0.675094255932579,0.298957640275006,0.731025299600533,0.633155792276964,,-0.09786950732356903,-0.376136615657573
6,ZZ019-15dRet-altContext,jaws,15,0.349966733200266,0.266356176535817,0.645874916833001,0.566533599467731,,-0.07934131736527006,-0.083610556664449
7,ZZ019-1d-sameCtxt,jaws,1,0.600664451827242,0.561904761904762,0.72905585106383,0.766954787234043,,0.037898936170213005,-0.03875968992248002
8,ZZ019-2d-altCntxt-redo4,jaws,2,0.390146471371505,0.513981358189081,0.599367509986684,0.472536617842876,,-0.126830892143808,0.12383488681757598
9,ZZ019-training,jaws,0,0.38353280141844,,0.0412234042553191,,0.557014627659574,,
10,ZZ020-14dRet-sameContext,jaws,14,0.606746560142033,0.351309365290723,0.559087882822903,0.712882822902796,,0.15379494007989303,-0.25543719485131
11,ZZ020-15dRet-altContext,jaws,15,0.0743453173546383,0.219707057256991,0.145639147802929,0.185752330226365,,0.040113182423436006,0.14536173990235268
12,ZZ020-1d-sameCtxt,jaws,1,0.585992907801418,0.547650709219858,0.458776595744681,0.636303191489362,,0.177526595744681,-0.03834219858155996
13,ZZ020-2d-altCntxt-redo4,jaws,2,0.207723035952064,0.130492676431425,0.255821689953426,0.345642049234864,,0.089820359281438,-0.077230359520639
