id,condition,day,csp,csp_laser,csm,csm_laser,delta_freeze_csp,delta_freeze_csm,laser
ZZ038-training,control,0,0.03224734,,0.63448735,,,,
ZZ039-training,control,0,0,,0.435530404,,,,
ZZ040-training,control,0,0.139960106,,0.358394322,,,,
ZZ041-training,control,0,0,,0.232356858,,,,
ZZ042-training,control,0,0.077460106,,0.439857967,,,,
ZZ043-training,control,0,0.183510638,,0.41888593,,,,
ZZ038-1d-sameContext,control,1,0.939747004,0.913781625,0.94451842,0.694629383,-0.025965379,-0.249889037,
ZZ039-1d-sameContext,control,1,0.744007989,0.625,0.700621394,0.715268531,-0.119007989,0.014647137,
ZZ040-1d-sameContext,control,1,0.580892144,0.604194407,0.51087439,0.793164669,0.023302264,0.28229028,
ZZ041-1d-sameContext,control,1,0.707223702,0.654460719,0.647802929,0.572791833,-0.052762983,-0.075011096,
ZZ038-2dRet-AltContxt,control,2,0.76930759,0.786451398,0.897248114,0.518197958,0.017143808,-0.379050155,
ZZ039-2dRet-AltContxt,control,2,0.600865513,0.542942743,0.582778518,0.371948513,-0.05792277,-0.210830004,
ZZ040-2dRet-AltContxt,control,2,0.530625832,0.57057257,0.378384376,0.2605415,0.039946738,-0.117842876,
ZZ041-2dRet-AltContxt,control,2,0.399633822,0.391311585,0.126719929,0.149134487,-0.008322237,0.022414558,
ZZ016_interleavedCSpCSm,control,14,0.113772455,0.066533599,0.153257979,0.248670213,-0.047238856,0.095412234,
ZZ017_interleavedCSpCSm,control,14,0.602892287,0.738031915,0.708776596,0.898271277,0.135139628,0.189494681,
ZZ038-14d-sameContext,control,14,0.515978695,0.329893475,0.564136707,0.353528628,-0.18608522,-0.210608078,
ZZ039-14d-sameContext,control,14,0.548268975,0.586884154,0.564802486,0.451176209,0.03861518,-0.113626276,
ZZ040-14d-sameContext,control,14,0.843375499,0.883322237,0.766089658,0.774966711,0.039946738,0.008877053,
ZZ041-14d-sameContext,control,14,0.54810253,0.608688415,0.683089214,0.5168664,0.060585885,-0.166222814,
ZZ042-14d-sameContext,control,14,0.469207723,0.597370173,0.583444296,0.642032845,0.12816245,0.058588549,
ZZ043-14d-sameContext,control,14,0.800432756,0.762816245,0.594984465,0.384598313,-0.037616511,-0.210386152,
ZZ038-15d-altContext,control,15,0.267643142,0.255992011,0.18819352,0.120062139,-0.011651132,-0.06813138,
ZZ039-15d-altContext,control,15,0.031624501,0.034620506,0.133821571,0.082334665,0.002996005,-0.051486906,
ZZ040-15d-altContext,control,15,0.453395473,0.252829561,0.114070129,0.03195739,-0.200565912,-0.082112739,
ZZ041-15d-altContext,control,15,0.073020625,0.030938124,0,0.025299601,-0.042082502,0.025299601,
ZZ042-15d-altContext,control,15,0.350699068,0.342543276,0.229471815,0.255659121,-0.008155792,0.026187306,
