SessionID,freeze_excited,freeze_suppressed,freeze_fraction,nontone_freeze_excited,nontone_freeze_suppressed,nontone_freeze_fraction,tone_freeze_excited,tone_freeze_suppressed,tone_freeze_fraction,tone_nonfreeze_excited,tone_nonfreeze_suppressed,tone_nonfreeze_fraction,CSp_onset_excited,CSp_onset_suppressed,CSp_onset_fraction,CSp_offset_excited,CSp_offset_suppressed,CSp_offset_fraction,CSp_excited,CSp_suppressed,CSp_fraction
ZZ087_D0,"1, 2, 6,14,20,27","10",0.259259259259259,"1, 2, 6,19,20,27","7, 8,23",0.333333333333333,"","23",0.037037037037037,"","13",0.037037037037037,"","",0,"15","1, 3,13",0.148148148148148,"","13",0.037037037037037
ZZ087_D1,"11","",0.0476190476190476,"","",0,"","",0,"","",0,"7","4",0.0952380952380952,"","",0,"","",0
ZZ087_D28,"3","",0.0714285714285714,"","",0,"2","",0.0714285714285714,"14","",0.0714285714285714,"","",0,"2, 6, 7,14","",0.285714285714286,"2, 8,14","",0.214285714285714
ZZ087_hab,"1, 4, 9,17","6,8",0.3,"1,17","6,7,8",0.25,"9","",0.05,"6,19","",0.1,"","",0,"","",0,"9,19","",0.1
ZZ106_D0,"3,6,8","",0.272727272727273,"3,6,8","",0.272727272727273,"3","",0.0909090909090909,"","1",0.0909090909090909,"","",0,"","2,5,9",0.272727272727273,"9","1,2",0.272727272727273
ZZ106_D1,"11,12,18,27,28","6,26",0.25,"11","6,15,20",0.142857142857143,"9,15,27","1",0.142857142857143,"10,15","",0.0714285714285714,"28","1,2",0.107142857142857,"12,27","1",0.107142857142857,"9,15,18,27","1",0.178571428571429
ZZ106_D28,"2, 6, 7,10,15,16","12",0.4375,"2, 7,10,16","12",0.3125,"15","14",0.125,"15","",0.0625,"","11",0.0625,"","",0,"6, 9,10,15","12,14",0.375
ZZ106_hab,"7,8","3,4",0.363636363636364,"7,8","3,4",0.363636363636364,"","",NaN,"","",0,"","",0,"9","6",0.181818181818182,"","",0
ZZ184_D0,"","11",0.0769230769230769,"","11",0.0769230769230769,"12","",0.0769230769230769,"","",0,"","",0,"1, 2, 4, 5, 6, 7, 8, 9,10,11,12,13","",0.923076923076923,"12,13","",0.153846153846154
ZZ184_D1,"","2, 3, 4, 5, 7, 9,10,11,14,15,16",0.611111111111111,"","5, 9,10",0.166666666666667,"","2, 3, 4, 5, 9,10,11,15,16",0.5,"","2, 3, 9,10,11,14,15,16",0.444444444444444,"13","3",0.111111111111111,"","6, 8,14,15",0.222222222222222,"","2, 3, 7,10,11,16",0.333333333333333
ZZ184_D28,"","1,5,7",0.375,"","6,8",0.25,"","1,7",0.25,"8","1,7",0.375,"4","",0.125,"","2,3,4,5",0.5,"8","1,2,3,7",0.625
ZZ184_hab,"","3,15",0.125,"","3,15",0.125,"","",NaN,"","",0,"","",0,"","3,12",0.125,"","",0
ZZ185_D0,"3, 4,23,29","5, 9,10,12,13,14,16,21,26",0.448275862068966,"3,23","5, 9,10,12,13,14,21,26",0.344827586206897,"7,20,23","6",0.137931034482759,"20","",0.0344827586206897,"7,20","",0.0689655172413793,"9,12,16,21,24,26","2, 8,10,15,18,19,25,28",0.482758620689655,"20","",0.0344827586206897
ZZ185_D1,"8, 9,12,14","3, 5, 7,10,11,13",0.625,"","1, 3, 6, 7,11,13",0.375,"","3, 5,10",0.1875,"","10",0.0625,"2, 4, 8,15","10",0.3125,"","5,10",0.125,"8","5,10",0.1875
ZZ185_D28,"4,10,11,15","5, 6,13",0.4375,"4,14","5,13,16",0.3125,"10,11","5,6",0.25,"2,11","5, 6,12",0.3125,"2,11,16","",0.1875,"1, 4, 8, 9,11","13",0.375,"2,10,11","5,6",0.3125
ZZ185_hab,"27","",0.0333333333333333,"27","",0.0333333333333333,"8,27","24",0.1,"1,7","11,30",0.133333333333333,"1","",0.0333333333333333,"1,21","",0.0666666666666667,"1","30",0.0666666666666667
ZZ186_D0,"","",0,"","",0,"","",0,"","6",0.125,"4","6",0.25,"1,4","6",0.375,"4","6",0.25
ZZ186_D1,"3","1, 4, 6, 7, 9,11,14,16",0.5,"","1, 4, 5, 6,10,11,14,16",0.444444444444444,"3","4, 7,12",0.222222222222222,"","",0,"2,8","",0.111111111111111,"","7,12,16",0.166666666666667,"","4,7",0.111111111111111
ZZ186_D28,"","3,6",0.166666666666667,"","3",0.0833333333333333,"","",0,"2,3,5","4",0.333333333333333,"2,5,7","",0.25,"2","",0.0833333333333333,"2,3,5","11,12",0.416666666666667
ZZ186_hab,"","9",0.0526315789473684,"13","9",0.105263157894737,"","",NaN,"13","",0.0526315789473684,"13","",0.0526315789473684,"12,17","15",0.157894736842105,"13","",0.0526315789473684
ZZ206_D0,"7,21","8,16,17",0.238095238095238,"7,15,21","8,16,17",0.285714285714286,"12","",0.0476190476190476,"","",0,"","",0,"8,10,14,17,19","7,11,21",0.380952380952381,"","",0
ZZ206_D1,"","6",0.0714285714285714,"","4,6",0.142857142857143,"","5,6",0.142857142857143,"10","4,5,6,7",0.357142857142857,"","3, 4, 5, 9,14",0.357142857142857,"","6,7",0.142857142857143,"10","4,5,6,7",0.357142857142857
ZZ206_D28,"","6,10,12",0.2,"","5,10",0.133333333333333,"","9,12",0.133333333333333,"2, 7,11","9,15",0.333333333333333,"","",0,"3,11","6, 9,10,12",0.4,"2, 7,11","9,12,15",0.4
ZZ206_hab,"","22",0.0454545454545455,"","22",0.0454545454545455,"","",NaN,"4,16,18","",0.136363636363636,"16","14",0.0909090909090909,"","",0,"4,18","",0.0909090909090909
