SessionID,freeze_excited_ids_1,freeze_excited_ids_2,freeze_excited_ids_3,freeze_excited_ids_4,freeze_excited_ids_5,freeze_excited_ids_6,nontone_freeze_excited_ids_1,nontone_freeze_excited_ids_2,nontone_freeze_excited_ids_3,nontone_freeze_excited_ids_4,nontone_freeze_excited_ids_5,nontone_freeze_excited_ids_6,tone_freeze_excited_ids_1,tone_freeze_excited_ids_2,tone_freeze_excited_ids_3,tone_nonfreeze_excited_ids_1,tone_nonfreeze_excited_ids_2,tone_nonfreeze_excited_ids_3,CSp_onset_excited_ids_1,CSp_onset_excited_ids_2,CSp_onset_excited_ids_3,CSp_onset_excited_ids_4,CSp_offset_excited_ids_1,CSp_offset_excited_ids_2,CSp_offset_excited_ids_3,CSp_offset_excited_ids_4,CSp_offset_excited_ids_5,CSp_offset_excited_ids_6,CSp_offset_excited_ids_7,CSp_offset_excited_ids_8,CSp_offset_excited_ids_9,CSp_offset_excited_ids_10,CSp_offset_excited_ids_11,CSp_offset_excited_ids_12,CSp_excited_ids_1,CSp_excited_ids_2,CSp_excited_ids_3,CSp_excited_ids_4,freeze_suppressed_ids_1,freeze_suppressed_ids_2,freeze_suppressed_ids_3,freeze_suppressed_ids_4,freeze_suppressed_ids_5,freeze_suppressed_ids_6,freeze_suppressed_ids_7,freeze_suppressed_ids_8,freeze_suppressed_ids_9,freeze_suppressed_ids_10,freeze_suppressed_ids_11,nontone_freeze_suppressed_ids_1,nontone_freeze_suppressed_ids_2,nontone_freeze_suppressed_ids_3,nontone_freeze_suppressed_ids_4,nontone_freeze_suppressed_ids_5,nontone_freeze_suppressed_ids_6,nontone_freeze_suppressed_ids_7,nontone_freeze_suppressed_ids_8,tone_freeze_suppressed_ids_1,tone_freeze_suppressed_ids_2,tone_freeze_suppressed_ids_3,tone_freeze_suppressed_ids_4,tone_freeze_suppressed_ids_5,tone_freeze_suppressed_ids_6,tone_freeze_suppressed_ids_7,tone_freeze_suppressed_ids_8,tone_freeze_suppressed_ids_9,tone_nonfreeze_suppressed_ids_1,tone_nonfreeze_suppressed_ids_2,tone_nonfreeze_suppressed_ids_3,tone_nonfreeze_suppressed_ids_4,tone_nonfreeze_suppressed_ids_5,tone_nonfreeze_suppressed_ids_6,tone_nonfreeze_suppressed_ids_7,tone_nonfreeze_suppressed_ids_8,CSp_onset_suppressed_ids_1,CSp_onset_suppressed_ids_2,CSp_onset_suppressed_ids_3,CSp_onset_suppressed_ids_4,CSp_onset_suppressed_ids_5,CSp_offset_suppressed_ids_1,CSp_offset_suppressed_ids_2,CSp_offset_suppressed_ids_3,CSp_offset_suppressed_ids_4,CSp_offset_suppressed_ids_5,CSp_offset_suppressed_ids_6,CSp_offset_suppressed_ids_7,CSp_offset_suppressed_ids_8,CSp_suppressed_ids_1,CSp_suppressed_ids_2,CSp_suppressed_ids_3,CSp_suppressed_ids_4,CSp_suppressed_ids_5,CSp_suppressed_ids_6,freeze_n_excited,freeze_excited_frac,nontone_freeze_n_excited,nontone_freeze_excited_frac,tone_freeze_n_excited,tone_freeze_excited_frac,tone_nonfreeze_n_excited,tone_nonfreeze_excited_frac,CSp_onset_n_excited,CSp_onset_excited_frac,CSp_offset_n_excited,CSp_offset_excited_frac,CSp_n_excited,CSp_excited_frac,freeze_n_suppressed,freeze_suppressed_frac,nontone_freeze_n_suppressed,nontone_freeze_suppressed_frac,tone_freeze_n_suppressed,tone_freeze_suppressed_frac,tone_nonfreeze_n_suppressed,tone_nonfreeze_suppressed_frac,CSp_onset_n_suppressed,CSp_onset_suppressed_frac,CSp_offset_n_suppressed,CSp_offset_suppressed_frac,CSp_n_suppressed,CSp_suppressed_frac,freeze_n_total,freeze_total_frac,nontone_freeze_n_total,nontone_freeze_total_frac,tone_freeze_n_total,tone_freeze_total_frac,tone_nonfreeze_n_total,tone_nonfreeze_total_frac,CSp_onset_n_total,CSp_onset_total_frac,CSp_offset_n_total,CSp_offset_total_frac,CSp_n_total,CSp_total_frac
ZZ087_D0,1,2,6,14,20,27,1,2,6,19,20,27,,,,,,,,,,,15,,,,,,,,,,,,,,,,10,,,,,,,,,,,7,8,23,,,,,,23,,,,,,,,,13,,,,,,,,,,,,,1,3,13,,,,,,13,,,,,,6,0.222222222222222,6,0.222222222222222,0,0,0,0,0,0,1,0.037037037037037,0,0,1,0.037037037037037,3,0.111111111111111,1,0.037037037037037,1,0.037037037037037,0,0,3,0.111111111111111,1,0.037037037037037,7,0.259259259259259,9,0.333333333333333,1,0.037037037037037,1,0.037037037037037,0,0,4,0.148148148148148,1,0.037037037037037
ZZ087_D1,11,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,0.0476190476190476,0,0,0,0,0,0,1,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0476190476190476,0,0,0,0,1,0.0476190476190476,0,0,0,0,0,0,2,0.0952380952380952,0,0,0,0
ZZ087_D28,3,,,,,,,,,,,,2,,,14,,,,,,,2,6,7,14,,,,,,,,,2,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0714285714285714,0,0,1,0.0714285714285714,1,0.0714285714285714,0,0,4,0.285714285714286,3,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0714285714285714,0,0,1,0.0714285714285714,1,0.0714285714285714,0,0,4,0.285714285714286,3,0.214285714285714
ZZ087_hab,1,4,9,17,,,1,17,,,,,9,,,6,19,,,,,,,,,,,,,,,,,,9,19,,,6,8,,,,,,,,,,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.2,2,0.1,1,0.05,2,0.1,0,0,0,0,2,0.1,2,0.1,3,0.15,0,0,0,0,0,0,0,0,0,0,6,0.3,5,0.25,1,0.05,2,0.1,0,0,0,0,2,0.1
ZZ106_D0,3,6,8,,,,3,6,8,,,,3,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,5,9,,,,,,1,2,,,,,3,0.272727272727273,3,0.272727272727273,1,0.0909090909090909,0,0,0,0,0,0,1,0.0909090909090909,0,0,0,0,0,0,1,0.0909090909090909,0,0,3,0.272727272727273,2,0.181818181818182,3,0.272727272727273,3,0.272727272727273,1,0.0909090909090909,1,0.0909090909090909,0,0,3,0.272727272727273,3,0.272727272727273
ZZ106_D1,11,12,18,27,28,,11,,,,,,9,15,27,10,15,,28,,,,12,27,,,,,,,,,,,9,15,18,27,6,26,,,,,,,,,,6,15,20,,,,,,1,,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,1,,,,,,5,0.178571428571429,1,0.0357142857142857,3,0.107142857142857,2,0.0714285714285714,1,0.0357142857142857,2,0.0714285714285714,4,0.142857142857143,2,0.0714285714285714,3,0.107142857142857,1,0.0357142857142857,0,0,2,0.0714285714285714,1,0.0357142857142857,1,0.0357142857142857,7,0.25,4,0.142857142857143,4,0.142857142857143,2,0.0714285714285714,3,0.107142857142857,3,0.107142857142857,5,0.178571428571429
ZZ106_D28,2,6,7,10,15,16,2,7,10,16,,,15,,,15,,,,,,,,,,,,,,,,,,,6,9,10,15,12,,,,,,,,,,,12,,,,,,,,14,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,12,14,,,,,6,0.375,4,0.25,1,0.0625,1,0.0625,0,0,0,0,4,0.25,1,0.0625,1,0.0625,1,0.0625,0,0,1,0.0625,0,0,2,0.125,7,0.4375,5,0.3125,2,0.125,1,0.0625,1,0.0625,0,0,6,0.375
ZZ106_hab,7,8,,,,,7,8,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,3,4,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,2,0.181818181818182,2,0.181818181818182,0,0,0,0,0,0,1,0.0909090909090909,0,0,2,0.181818181818182,2,0.181818181818182,0,0,0,0,0,0,1,0.0909090909090909,0,0,4,0.363636363636364,4,0.363636363636364,0,0,0,0,0,0,2,0.181818181818182,0,0
ZZ184_D0,,,,,,,,,,,,,12,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,13,12,13,,,11,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0.0769230769230769,0,0,0,0,12,0.923076923076923,2,0.153846153846154,1,0.0769230769230769,1,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,1,0.0769230769230769,1,0.0769230769230769,1,0.0769230769230769,0,0,0,0,12,0.923076923076923,2,0.153846153846154
ZZ184_D1,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,2,3,4,5,7,9,10,11,14,15,16,5,9,10,,,,,,2,3,4,5,9,10,11,15,16,2,3,9,10,11,14,15,16,3,,,,,6,8,14,15,,,,,2,3,7,10,11,16,0,0,0,0,0,0,0,0,1,0.0555555555555556,0,0,0,0,11,0.611111111111111,3,0.166666666666667,9,0.5,8,0.444444444444444,1,0.0555555555555556,4,0.222222222222222,6,0.333333333333333,11,0.611111111111111,3,0.166666666666667,9,0.5,8,0.444444444444444,2,0.111111111111111,4,0.222222222222222,6,0.333333333333333
